Date,Mkt-RF,SMB,HML,RF,Mom,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
194605,3.96,1.47,1.75,0.03,-0.55,1.81,8.39,3.3,-4.07,0.99,1.28,10.2,5.58,4.34,11.58,5.31,6.48,6.85,5.91,4.27,4.45,2.92,4.03,3.62,2.94,2.8,5.46,3.5,4.18,5.21,7.27,1.96,-1.03,4.16,5.97
194606,-3.94,-1.51,0.02,0.03,-2.44,-3.17,2.24,-4.73,-4.58,-8.39,-4.4,-8.09,-5.5,-3.02,-5.94,-4.39,-2.32,-4.65,-5.13,-5.91,-5.7,-5.44,-4.65,-3.15,-2.82,0.42,-6.43,-5.61,-3.27,-2.67,-1.68,-8.22,-6.26,-2.92,-6.92
194607,-2.58,-2.1,0.03,0.03,-0.07,-0.8,3.37,-0.7,-1.64,-3.73,-1.39,-2.34,-3.13,-2.49,-4.07,-5.4,-2.51,-5.35,-3.82,-4.3,-4.22,-5.92,-0.09,-0.03,-3.47,-0.06,-1.04,-2.69,-2.06,-5.79,-2.93,-2.38,-1.24,-4.48,-5.24
194608,-6.43,-1.8,0.13,0.03,-0.05,-4.6,-6.75,-3.91,-5.76,-11.18,-4.88,-8.75,-3.22,-6.48,-8.7,-6.81,-7.48,-8.82,-7.91,-9.89,-5.19,-6.57,-2.89,-5.65,-5.51,-6.92,-9.91,-4.74,-4.75,-6.79,-7.5,-4.73,-3.9,-6.38,-4.21
194609,-10.05,-4.19,-2.29,0.03,1,-8.84,-15.64,-11.2,-12.27,-11.74,-9.37,-13.22,-7.02,-8.86,-11.92,-9.3,-11.75,-12.09,-10.82,-14.26,-11.79,-7.51,-11.59,-7.95,-8.73,-4.81,-14.47,-7.99,-11.17,-16.46,-8.29,-6.31,-14.88,-13.55,-12.51
194610,-1.45,-0.26,3.5,0.03,0.68,0.25,-3.46,4.55,-3.26,-0.46,-0.77,1.95,-0.28,-3.64,-6.11,-1.53,1.4,-3.4,-3.95,-3.29,-4.44,0.67,0.36,-0.69,1.53,-5.13,-4.9,-0.88,0.19,0.63,-2.31,-2.67,-0.42,-1.39,-2.05
194611,0.09,-0.46,1.25,0.03,0.08,-0.25,-8.74,0.63,1.39,-1.49,-0.24,-1.71,1.64,3.6,-2.3,1.09,2.21,-1.1,-5.18,-1.68,-2.26,1.74,-1.22,0.59,0.74,1.81,-4.5,2.79,5.83,-0.24,-2.5,-4.91,6.76,0.3,1.45
194612,5.06,0.04,-1.14,0.03,0.25,4.28,1.8,3.98,-1.26,4.84,7.01,-0.11,7.4,6.86,6.65,9.31,5.18,7.05,4.84,5.94,4.85,0.92,2.81,4.36,6.06,3.72,2.21,4.85,6.48,2.21,2.65,5.2,-1.54,8.27,8.55
194701,1.48,1.7,-0.67,0.03,-6.17,0.17,-6.55,2.01,-3.04,0.69,-0.33,3.54,-5.35,-0.47,2.37,1.37,0.88,3.44,7.38,10.37,4.91,2.47,3.66,-0.71,-0.37,0.97,-0.58,2.31,0.09,0.19,-0.31,3.31,0.5,2.12,2.44
194702,-1.19,0.68,-0.25,0.03,-0.46,1.24,-1.66,0.49,-5.17,-1.67,0.36,1.53,-4.21,-0.37,4.35,-4.01,-0.86,-0.25,-2.94,1.82,-0.78,1.74,-0.34,-2.72,-0.69,-2.08,-1.55,-0.54,1.45,-0.95,-0.92,-1.31,0.48,-2.82,-0.85
194703,-1.74,-1.68,0.47,0.03,4.1,-1.06,-4.48,-2.66,-3.49,-2.61,-2.37,-2.47,-1.28,-0.22,-8.37,-2.58,-1.78,0.03,-4.08,-2.72,-2.78,-3.41,5.05,2.29,-2.64,-2.21,1.68,0.42,-3.54,-3.83,-2.43,-2.4,-4.69,-2.62,-3.45
194704,-4.82,-4.09,0.75,0.03,4.86,-5.18,-10.02,-8.41,-7.66,-11.96,-3.37,-8.43,-8.46,-3.93,-8.43,-5.52,-6.44,-7.49,-4.91,-4.52,-8.29,-4.93,-5.43,-0.29,-3.73,-0.26,-7.27,-5.37,-5.17,-6.46,-5.75,-7.78,-9.38,-6.25,-7.17
194705,-1.03,-3.31,0.16,0.03,3.31,-0.64,-3.01,3.76,1.2,-6.24,-1.96,-6.38,-2.61,-0.32,-3.67,-3.76,-2.34,-1.58,0.46,-2.58,-4.62,-1.57,-5.34,2.62,-2.33,-1.07,-2.74,-1.67,-1.26,-2.67,-3.8,-0.88,-4.84,-0.74,-4.19
194706,5.33,-0.32,-0.39,0.03,-1.61,5.9,7.51,5.74,2.27,7.15,3.01,10.14,4.23,8.02,10.46,5.71,2.27,8.96,4.62,6.07,3.04,2.75,11.6,7.74,3.92,-3.22,2.01,2.6,6.82,2.62,8.27,9.87,7.91,6.98,3.28
194707,4.09,1.55,2.92,0.03,-3.11,5.02,2.13,3.48,5.42,4.15,8.42,3.81,2.6,1.49,8.04,3.16,7.31,3.69,6.92,4.68,3.42,5.03,17.04,3.68,2.5,0.81,8.2,5.48,3.38,7.46,5.45,4.36,6.78,2.39,7.85
194708,-1.78,0.4,0.13,0.03,3.53,-1.34,-3.69,-2.49,-10.45,-0.22,0.52,-0.76,-3.83,-0.58,-1.31,-2.71,-0.61,-2.36,-3.65,-1.08,0.97,-2.11,0.74,-2.35,0.24,0.36,-0.54,-5.03,-0.23,-2.34,-1.37,-3.6,-6.81,-1.3,1.83
194709,-0.5,1.55,1.47,0.06,-0.07,-0.4,11.79,-0.68,-0.95,-2.26,0.61,0.21,-2.62,-0.95,2.41,0.71,0.54,2.7,1.24,0.43,1.67,-1.41,11.83,-2.94,-1.32,0.84,-0.42,0.99,2.43,-1.32,-0.11,-2.33,0.86,0.7,0.8
194710,2.41,0.56,0.07,0.06,1.58,2.6,-4.57,-1.58,-1.08,4.03,5.31,2.43,1.22,1.15,5.07,3.99,5.55,4.4,1.55,2.68,0.85,0.71,2.64,5.29,0.15,0.21,2.13,1.97,2.93,0.53,1.61,2.82,0.22,3.21,2.78
194711,-1.88,-1.73,0.98,0.06,4.39,-2.52,-1.92,0.87,-2.48,-5.73,-2.31,-1.98,-3.04,-0.74,-1.24,-2.13,-0.08,-0.73,-1.79,-2.72,-1.46,1.09,4.49,-0.43,-7.44,-2.57,-3.38,1.32,-3.89,-2.87,-2.26,-1.84,-1.18,-1.61,0.49
194712,2.94,-2.34,3.95,0.08,3.55,0.04,-1.11,1.07,-6.52,-1.07,1.3,3.65,3.1,1.86,1.79,3.12,3.69,3.26,3.3,2.47,1.54,-4.48,4.33,9.39,1.18,0.44,-2.25,1.23,3.06,8.29,0.14,0.12,5.83,1.01,6.96
194801,-3.8,2.41,1.15,0.07,-4.14,-3,-3.14,-1.59,-5.47,-3.43,-2.48,-3.85,-8.23,-4.43,-2.82,-5.75,-4.08,-3.43,-3.97,-5.15,1.71,0.58,-1.17,-7.54,-0.22,0.11,-0.27,-7.8,-5.73,-0.37,-2.6,-2.59,-5.25,-1.3,-4.97
194802,-4.41,-1.71,0.01,0.07,1.49,-6.69,-8.48,-2.44,-6.17,-4.64,-4.51,-8.48,-3.53,-5.59,-6.93,-5.81,-5.04,-5.94,-5.08,-5.64,-5.14,-2.24,-5.43,-2.91,-3.49,-1.06,-7.08,-2.17,-5.16,-3.76,-6.58,-3.81,-1.47,-5.15,-1.49
194803,8.19,0.15,4.53,0.09,-0.2,6.54,11.26,-1.72,25.22,5.86,3.08,8.77,6.33,8.18,8.48,7.62,12.78,9.43,11.81,7.25,15.88,8.56,10.54,9.92,6.61,1.96,-0.71,9.97,8.32,8.68,7.57,7.21,0.02,8.03,8.49
194804,3.7,-1.64,4.07,0.08,4,1.37,-0.73,-0.89,-2.93,6.05,3.54,3.76,2.14,2.55,7.06,0.15,2.32,3.57,-1.59,0.93,2.36,3.16,4.75,11.34,1.5,2.65,4.09,0.95,6.31,3.59,9.89,4.24,-4.26,4.29,0.23
194805,7.38,0.97,-1.15,0.08,2.34,3.71,12.72,2.85,6.98,8.32,5.25,6.46,6.78,7.77,12.28,9.66,8.05,7.91,16.89,14.23,3.65,5.17,11.07,5.99,5.74,2.49,7.56,6.26,9.65,6.2,2.99,9.15,9.71,9.77,7.57
194806,-0.11,-1.75,2.64,0.09,3.98,-1.3,-5.57,-1.61,-10.31,0.37,-0.84,-4.38,-2.19,0.45,-4.19,-3.47,0.19,-1.5,-0.65,0.54,-3.99,-1.96,1.41,3.53,2.58,0.43,0.05,-2.69,-3.46,0.41,1.26,-1.11,-3.9,-0.32,-0.11
194807,-5.12,-0.34,0.11,0.08,-1.53,-3.17,-3.65,4.44,-7.55,-4.25,-1.37,-2.39,-4.25,-5.76,-2.32,-6.43,-3.91,-7.26,-7.37,-4.58,-1.63,-3.48,-2.98,-7.26,-4.2,-1.65,-7.49,-5.26,-4.33,-4.56,-5.05,-7.67,-4.07,-5.69,-4.28
194808,0.3,-1.12,0.26,0.09,0.24,-0.2,0.11,1.92,5.62,0.97,-0.61,-1.56,-1.9,-0.33,-1.41,1.54,1.63,-1.53,1.24,1.16,0.51,-0.02,0.01,-2.05,0.09,0.06,1.25,6.24,0.37,2.14,-4.41,2.7,-1.18,-0.82,1.57
194809,-2.99,-1.27,-1.81,0.04,-1.27,-4.39,-1.23,-3.14,-7.22,-6.73,-2.66,-3.4,-3.08,-1.8,-5.66,-4.18,-2.15,-4.53,-2.35,-3.5,-1.87,-2.39,-5.58,-4.44,-0.9,-0.23,-4.24,-4.53,-4.18,-3.94,-2.77,-0.8,-2.72,-0.88,-3.37
194810,5.97,-1.47,0.59,0.04,2.8,3.86,5.31,3.43,2.31,0.99,3.34,2.95,5.19,7.11,2.5,7.37,8.35,5.99,7.75,7.8,2.42,5.62,7.36,9.23,4.4,1.11,4.07,5.27,5.28,4.97,4.68,4.16,2.47,6.07,4.06
194811,-9.1,-0.75,-4.32,0.04,0.81,-6.15,-7.87,-2.88,-3.81,-11.21,-5.72,-8.39,-5.74,-8.48,-10.54,-8.32,-12.51,-10.83,-11.81,-12.13,-13.64,-6.67,-4.77,-12.32,-9.09,-2.06,-6.61,-4.86,-10.31,-12.74,-5.81,-4.45,-6.18,-8.65,-7.99
194812,3.18,-2.74,-1.86,0.04,4.63,1.12,0.78,0.83,5.95,-2.22,0.73,-2.4,4.54,7.49,-2,1.82,1.93,2.17,6.89,3.98,2.46,0.49,-2.01,4.86,2.67,1.08,-0.45,5.36,4.87,1.99,0.8,1.41,1.4,6.14,-0.08
194901,0.2,1.73,1.23,0.1,-2.9,3.61,2.44,4.8,1.63,4.27,1.04,3.61,4.57,-0.26,2,0.85,0.81,-1.53,-2.99,2.69,1.45,1.2,-4.73,-3.81,4.77,-1.26,3.08,1.38,0.38,0.28,3.08,0.93,0.05,-0.86,3.86
194902,-3.04,-1.81,-0.82,0.09,-0.44,-2.38,-1.72,0.38,1.66,-7.36,-7.76,-5.11,-0.93,-2.18,-1.85,-2.81,-5.87,-3.54,-5.83,-3.51,-2.03,0.46,-8.16,-4.23,0.67,-0.3,-5.49,-1.68,-0.5,-5.69,-3.87,-3.11,1.14,-0.72,-2.19
194903,4.05,2.43,1.37,0.1,-0.96,4.4,5.79,0.92,3.77,9.38,8.49,3.03,5.5,2.87,-2.81,4.43,1.44,5.71,5.7,3.53,7.23,3.78,5.12,6.08,3.76,1.36,3.56,5.99,3.2,4.21,2.65,4.37,2.48,7.37,3.91
194904,-1.87,-0.96,-1.09,0.09,3.09,-1.93,-1.99,0.34,-0.06,-0.33,-1.28,-2.88,0.24,-2.39,-4.01,-3.49,-4.84,-3.97,-4.12,-4.01,-5.04,-0.09,-8.2,1.46,1.22,-1.64,7.26,-3.12,-3.84,-2.83,-1.67,-1.66,0.37,-0.32,-6.2
194905,-2.85,-0.86,-2.52,0.1,3.16,-1.32,-1,2.94,-2.4,-2.21,-0.3,-2.11,-1.88,-0.97,-1.41,-3.43,-6.51,-3.04,-5.93,-2.96,-6.34,-1.25,-0.85,-5.71,-0.57,-2.18,-3.36,-4.41,-3.6,-3.35,-5.37,1.43,-0.24,-1.95,-1.04
194906,0.21,-0.91,-1.77,0.1,-1.14,0.41,3.33,-0.04,0.83,0.15,-0.52,4.6,2.16,0.67,5.21,1.13,-1.28,2.98,0.24,1.02,-0.45,-1.32,0.1,-1.2,-0.92,1.13,3.56,-0.08,-0.29,-2.1,2.11,3.69,0.24,-0.65,-0.8
194907,5.49,0.61,0.43,0.09,-1.53,5.31,7.24,3.09,0.94,3.65,7.47,6.63,6,4.6,5.84,7.15,7.79,5.07,7.05,9.12,3.51,4.25,6.51,6.23,4.56,2.41,9.02,6.64,5.95,3.99,4.41,4.7,4.24,6.34,8.32
194908,2.58,0.2,-0.41,0.09,1.56,4.49,4.51,3.51,0.89,5.62,4.12,1.82,0.19,3.23,2.21,2.27,-0.29,2.67,0.94,1.82,0.38,2.71,2.96,5.53,3.67,0.98,2.52,0.56,5.53,0.75,3.5,1.27,-1.29,2.61,1.2
194909,3.1,1,0.18,0.09,-1.42,2.35,5.67,2.68,1.99,2.54,3.34,4.33,1.86,4.93,2.75,2.88,3.56,3.27,3.49,2.38,3.84,2.17,3.52,3.02,4.05,1.23,11.9,3.83,4.61,2.78,4.56,2.02,2.1,6.29,3.56
194910,2.97,1.31,-0.79,0.09,-0.14,2.19,2.85,-1.39,4.22,2.24,7.77,6.09,3.38,4.16,1.16,3.39,5.05,2.94,2.66,7.2,3.48,3.52,-0.65,3.79,0.45,1.88,1.63,5.36,4.91,0.93,1.18,0.33,2.24,4.23,2.84
194911,1.81,-0.86,-1.04,0.08,1.28,1.91,4.49,2.19,1.27,-2.57,3.05,0.12,4.81,5.06,0.61,4.56,2.68,-0.33,4.01,4.45,-0.47,0.14,4.02,-2.88,3.16,1.67,0.21,3.7,2.58,0.4,1.06,2.46,3.12,3.04,2.61
194912,5.11,2.07,1.69,0.09,-0.75,5.82,4.36,2.47,10.02,7.06,5.47,6.03,8.7,5.86,7.69,6.55,6.26,5.9,9.3,8.81,7.3,4.18,-2.47,1.16,3.29,1.59,4.88,8.94,8.6,8.31,4.57,4.66,5.49,6.16,1.97
195001,1.64,3.38,0.18,0.09,-2.3,1.68,3.67,-0.87,-0.86,2.58,2.38,-0.65,1.06,0.93,3.28,0.22,3.69,1.65,5.47,1.67,5.12,2.55,3.55,-0.72,3.69,1.86,2.5,3.24,3.52,4.67,0.83,-0.05,1.64,1.71,3.81
195002,1.37,0.12,-0.74,0.09,1.44,1.68,-1.07,1.43,-7.17,-1.95,2.18,-1.67,1.92,0.98,-5.02,1.89,3.38,0.38,4.32,3.73,5.81,-0.68,-3.03,-0.49,2.38,0.66,-1.15,1.98,-0.25,1.7,1.73,1.48,2.06,3.45,4.17
195003,1.12,-1.38,-2.73,0.1,1.51,0.17,-0.29,-0.65,-3.86,-3.15,-0.42,-0.14,-2.9,3.58,-4.05,0.69,-1.49,-1.1,4.08,1.59,-3.24,-1.27,1.03,4.91,0.6,4.57,2.95,-0.09,2.09,-0.79,-0.33,-0.7,-1.87,0,-1.45
195004,3.94,1.89,1.39,0.09,0.41,-0.35,2.72,-2.83,3.39,2.12,6.77,3.98,5.52,9.42,7.94,4.51,7.55,2.75,6.69,10.39,10.65,3.71,-3.29,3.34,0.95,2.37,-0.16,1.62,7.65,1.09,0.34,-0.26,6.42,-0.55,0.85
195005,4.27,-2.08,0.46,0.1,0.37,2.35,-0.19,0.48,-3.6,0.35,4.83,9.11,3.96,7.45,3.57,4.24,6.21,4.12,0.35,6.87,-1.08,2.99,7.96,8.81,1.86,1.97,10.68,0.03,7.11,0.3,5.65,2.44,-0.13,4.73,3.33
195006,-5.89,-2.4,-0.74,0.1,-1.65,-6.64,-2.17,-4.49,-7.01,-6.32,-7.74,-7.12,-4.19,-6.69,-5.63,-8.44,-4.12,-5.81,-7.76,-3.92,-5.03,-7.02,-7.62,-4.42,-7.63,-4.28,-9.28,-8.3,-10.56,-6.35,-7.74,-4.38,-4.46,-7.63,-6.37
195007,1.51,0.51,13.51,0.1,-0.39,-2.42,5.96,-1.91,4.8,-4.24,-1.77,8.24,-6.94,-3.81,17.1,-6.4,12.16,4.94,-1.6,-1.1,17.4,1.16,20.3,8.39,-5.23,-1.32,-1,-5.13,1.01,16.17,3.92,-0.95,-0.43,-5.99,-6.35
195008,4.97,0.78,-1.4,0.1,3.19,5.33,3.22,0.33,2.88,8.57,10.28,2.15,3.68,7.78,3.23,6.84,4.79,4.6,3.94,8.92,-2.14,7.85,4.54,4.34,3.39,2.56,6.25,7.61,10.08,0.01,11.58,3.84,5.13,4.39,5.35
195009,4.78,0.54,-0.97,0.1,-0.02,3.82,10.13,4.77,10.93,14.19,3.14,8.59,6.15,4.2,3.68,8.51,3.12,7.06,4.65,8.38,-0.45,10.14,3.46,3.62,4.51,-0.46,5.62,5.6,6.33,4.29,5.47,7.74,6.53,8.51,9.5
195010,-0.23,-0.54,1.44,0.12,1.39,-0.43,-1.16,0.19,-5.89,-0.63,-0.61,-1,-1.76,-0.85,0.07,-1.41,3.98,-0.76,-1.4,0.42,2.26,-3.29,-2.58,0.25,-0.74,0.21,-1.16,-1.64,-0.18,-0.76,-3.37,1.04,-1.78,-1.07,0.27
195011,2.74,-0.82,3.19,0.11,3.64,-0.57,3.21,-1.75,-1.32,-2.01,0.7,6.14,4.68,7.67,2.57,4.08,5.26,3.14,0.51,-1.84,6.24,8.15,4.73,5.27,-1.18,-0.24,-2.23,6.17,6.79,4.18,3.9,0.49,1.55,2.75,1.15
195012,5.66,1.44,7.13,0.11,4.91,1.46,6.4,-1.39,1.03,2.29,1.37,9.34,6.06,6.18,12.29,2.7,7.53,9.94,5.05,2.3,11.27,7.96,14.1,8.54,3.59,1.88,1.2,2.07,5.8,15.87,4.58,2.91,3.82,4.47,4.97
195101,5.69,1.64,4.04,0.13,2.05,4.54,8.69,3.69,4.62,6.96,7.44,0.84,3.1,4.32,4.33,7.8,8.51,6.39,10.45,9,3.08,6.18,4.09,6.49,5.04,1.88,5.02,3.4,5.6,8.28,5.1,2.95,7.55,2.21,10.03
195102,1.34,0.16,-2.94,0.1,-1.67,1.81,-3.4,-0.77,4.58,0.11,1.72,1.99,1.46,2.64,2.84,3.1,-2.34,1.71,1.33,2.96,1.74,1.19,-0.08,0.99,3.11,4.11,0.41,0.25,1.73,-2.28,-0.77,3.75,2.7,2.25,0.09
195103,-2.2,-0.67,-4.16,0.11,-2.99,-1.25,-4.74,-1.58,-5.58,-4.33,-3.34,-5,1.7,-1.76,-9.46,0.14,-5.12,-4.51,-0.32,0.93,-7.9,-2.79,-5.82,-2.27,-1.39,-1.1,0.72,-1.94,-2.26,-3.62,1.02,-1.89,-3.79,0.49,-0.25
195104,4.83,-1.42,3.2,0.13,6.04,0.43,5,-0.6,1.5,2.76,1.29,1.3,10.41,8.3,2.35,3.91,6.55,4.69,2.9,4.33,5.49,5.39,-2.7,10.88,0.22,0.85,-1.39,3.64,9,3.6,0.72,0.05,-1.58,3.81,2.94
195105,-2.38,0.06,-1.39,0.12,-0.85,-1.15,-0.14,-2.08,-4.4,-5.19,-2.08,-2.28,1.57,-0.32,-0.53,-3.76,-3.73,-2.57,-3.38,-5.01,-2.72,-3.4,-0.77,-3.11,-0.05,-0.41,-0.45,-1.7,-2.46,-3.92,6.28,-2.05,-5.38,-1.55,-1.82
195106,-2.65,-1.91,-4.08,0.12,-2.41,-3.43,-2.55,-3.69,-0.05,-3.57,-7.52,-3.79,0.83,-0.69,-5.42,-2.67,-8.17,-4.9,-1.65,-6.66,-8.74,-3.5,-0.34,1.08,-0.41,-0.18,-1.61,-1.52,-2.16,-7.86,-7.37,-2.07,-5.06,-0.15,-0.68
195107,6.99,-1.87,1.95,0.13,7.3,3.24,5.44,3.08,7.16,1.96,6.22,1.17,14.3,8.19,2.41,6.74,9.53,6.41,4.93,4.37,10.09,7.38,4.4,11.44,5.31,2.82,2.45,7.4,7.65,9.12,11.15,2.26,10.31,6.16,4.11
195108,4.38,0.85,0.22,0.13,0.9,3.49,2.53,3.45,6.13,4.04,2.55,1.74,-1.25,2.4,4.24,4.96,9.68,4.7,8.29,7.08,4.05,8.09,6.25,5.39,2.14,2.65,8.54,4.03,3.3,1.69,3.04,2.87,12.97,4.18,3.33
195109,0.8,2,0.72,0.12,0.5,-0.62,4,0.23,9.49,-0.76,0.26,-2.64,-1.79,-1.36,-2.1,1.42,1.35,2.02,3.46,2.5,3.9,4.98,3.7,-0.59,1.32,-0.08,-2,3.29,-0.09,3.36,16.03,2.4,-2.85,1.08,-0.77
195110,-2.4,-0.39,0.11,0.16,-0.31,-3.57,-3.84,-2.36,-3.5,-0.13,-2.52,-1.53,-5.94,-7.5,-3.53,-2.52,-1.67,-2.48,-6.54,-1.96,-1.76,-3.4,-0.09,1.34,0.71,-1.12,-3.43,-4.79,-4.41,-4.3,-9.18,-2.73,0.38,-1.73,-6.78
195111,0.48,-0.33,0.38,0.11,0.69,0.15,-1.61,0.35,-0.23,1.96,-0.6,0.31,-0.57,0.12,0.93,-0.64,1.16,1.7,2.27,1.37,-1.9,2.65,1.46,-1.05,1.66,0.49,0.23,2.42,1.51,1.88,0.91,1.43,2.12,3.95,1.97
195112,3.37,-2.07,-1.9,0.12,1.76,2.41,2.66,0.82,-2.13,-2.56,2.19,1.23,5.03,8.15,1.2,2.82,0.35,3.49,4.99,3.53,1.36,-0.51,1.98,4.38,3.27,0.88,2.81,5.38,2.98,1.74,0.13,-0.27,-1.11,5.29,3.08
195201,1.54,-0.74,1.87,0.15,1.37,0.69,-3.95,5.24,-0.21,-1.95,0.39,1.3,0.86,-3.22,-5.53,-0.04,3.05,0.73,-0.52,-1.24,3.36,4.1,4.2,6.57,3.08,0.14,-1.41,-2.95,0.2,1.76,0.04,-0.51,3.65,2.51,2.31
195202,-2.62,0.71,-0.26,0.12,-0.74,-1.21,-3.19,-2.59,0.07,-1.32,-0.5,-4.87,-4.58,-3.29,-3.61,-1.59,-5.95,-2.29,-4.13,-0.24,-3.74,-5.13,0.59,-3.53,0.71,-0.66,-6.9,-2.79,-2.41,-1.2,-3.23,-3.6,1.45,-0.4,-5.51
195203,4.45,-2.98,2.26,0.11,1.63,1.45,-0.27,1.9,0.88,3.92,2.21,3.43,0.58,3.28,3.46,2.92,1.85,2.91,7.91,8.75,1.42,2.52,-1.41,8.79,2.23,1.25,-1.56,1.05,2.59,7.54,-0.66,2.5,10.87,4.08,4.66
195204,-5.01,0.4,0.25,0.12,-2.11,-2.36,-9.14,-3.83,-5.92,-2.7,-5.09,-2.91,-5.43,-7.23,-5.12,-5.09,-7.75,-4.59,-4.02,-3.83,-4.09,-4.85,-8.39,-7.62,-1.8,-0.71,-4.59,-2.95,-6.37,-2.89,-6.07,-1.45,-2.31,-1.47,-2.66
195205,3.16,-1.05,0.16,0.13,0.51,2.11,1.79,-0.46,-7.88,2.23,-0.09,1.54,2.79,6.45,5.38,3.16,2.51,2.9,2.74,4.14,5.07,3.61,1.7,3.38,2.99,1.01,-0.74,2.75,2.26,5.43,3.71,2.67,1.72,2.44,-0.16
195206,3.78,-1.6,1.19,0.15,1.49,2.1,2.85,3.73,0.87,0.68,2.43,3.45,-1.2,3.87,5.4,2.05,5.81,1.77,6.55,6.16,5.72,3.7,2.26,5.2,1.1,2.1,12.19,4.22,4.71,6.55,2.03,2.9,6.04,2.61,0.09
195207,1,-0.32,-0.35,0.15,-0.5,0.51,5.64,-0.65,-1.91,1.88,2.1,2.4,-4.87,1.31,-1.56,0.86,3.43,3.72,1.37,2.36,0.3,1.61,-0.24,-0.91,2.19,0.2,-7.12,1.75,3.83,-0.03,-0.9,2.15,1.78,3.07,0.06
195208,-0.81,1.16,-0.12,0.15,0.31,1.51,-0.29,1.64,5.85,-1.63,-0.08,-1.85,-0.5,-1.54,-0.31,-0.24,-2.45,-2.11,-0.48,1.5,0.48,0.14,-1.3,-2.7,1.91,0.86,-3.1,-0.64,-0.95,0.37,-1.71,-0.16,3.03,-0.83,2.65
195209,-2.06,1.23,-1.64,0.16,1.75,-2.12,-12.75,0.09,-1.05,-0.2,-0.66,1.85,-4.3,-1.73,-5.72,-1.46,-3.68,-1.71,3.03,-0.92,-1.67,-2.15,-0.6,-4.4,0.39,-0.37,-8.89,-1.18,-0.68,-1.05,-3.89,-0.44,2.78,0.45,1.63
195210,-0.69,-1.1,-0.3,0.14,2.76,-1.6,-2.25,6.65,-6.3,0.04,0.87,-1.05,-1.45,-2.08,-7.19,-3.17,-1.44,-2.02,-0.89,1.26,0.54,-4.74,-2.75,0.48,0.51,0.99,4.71,-1.91,-1.08,0.22,0.47,-1.32,-1.15,-3.43,-4.68
195211,5.78,-0.63,1.08,0.1,0.42,4.55,9.72,8.02,9.33,3.76,4.78,4.8,7.25,9.97,5.97,6.79,7.76,7.46,9.96,7.69,5.88,5.5,5.84,1.89,5.16,4,1.41,5.95,7.49,6.68,4.36,4.28,-1.98,7.26,5.76
195212,2.96,-1.41,0.18,0.16,1.55,1.29,-0.67,0.46,6.43,2.47,1.2,2.17,-1.96,1.71,3.76,2.52,4.11,2.09,2.69,6.9,2.48,2.1,1.46,4.56,1.8,0.88,-2.18,3.34,2.7,4.03,2.38,1.36,9.07,3.54,-0.03
195301,-0.29,3.5,1.25,0.16,0.7,2.49,0.2,4.33,0.57,3.46,0.52,0.86,-5.12,0.17,-2.39,2.49,1.63,0.01,-1.92,-0.33,7.06,-0.84,2.98,-3.11,0.92,0.93,-1.71,-0.06,-1.08,1.24,0.14,0.82,0.83,-0.04,1.39
195302,-0.31,2.2,-0.11,0.14,0.87,0.49,0.21,5.65,3.48,4.3,-0.18,11.95,2.09,-2.66,1.78,0.74,-0.25,-0.63,1.78,-1.18,1.4,2.76,-2.49,0.37,0.41,-0.42,0.03,0.82,1.36,-1.1,-1.61,-0.01,6.43,0.34,-0.21
195303,-1.52,-0.01,-1.01,0.18,0.1,-0.28,-1.5,-4.47,5.07,-0.32,-0.67,-4.48,-0.16,0.33,-4.83,-0.7,-4.71,-0.82,-1.12,-4.4,-4.42,-2.96,-5.26,-0.36,0.05,-0.47,2.28,0.73,-1.49,-2.66,-1.63,-0.83,-3.62,0.4,0.79
195304,-2.91,0.31,1.48,0.16,1.88,-0.76,-3.91,4.87,-2.85,-1.53,-2.75,-0.64,-5.35,-3.32,-2.82,-1.94,-2.07,-1.61,-0.47,-2.12,-4.14,-2.36,-7.52,-5.03,-3.19,-1.04,-2.26,-3.46,-2.4,-2.65,-3.18,-0.63,-3.17,-4.34,-2.13
195305,0.54,-0.08,0.14,0.17,0.95,0.42,0.83,-0.32,0.08,0.47,0.24,11.37,-0.03,0.08,-0.52,0.11,0.2,-0.47,1.91,-0.28,2.96,-2.19,-0.94,1.76,-0.03,0.35,3.33,1.18,1.78,2.61,0.17,1.6,-0.94,0.17,2.04
195306,-1.85,-1.77,-0.49,0.18,0.03,-1.7,-1.21,1.76,-1.88,-3.58,-4.3,-4.69,-3.29,-1.17,-0.35,-3.94,-2.77,-4.13,-1.9,-3.05,-3.37,-3.95,-0.82,0.04,-2.85,0.56,0.34,-2.17,-0.99,-1.3,-6.71,-2.18,2.52,-2.49,-0.77
195307,2.38,-1.01,-0.36,0.15,-0.26,2.55,3.66,4.48,3.16,-0.51,5.22,4.96,3.66,2.79,1.47,2.18,3.12,0.48,2.06,0.52,-0.01,1.2,0.72,3.91,3.37,0.88,-1.31,1.7,3.17,0.85,0.41,2.29,-0.32,0.72,0.75
